"gene","DSPP_pos_pct","DSPP_pos_mean","DSPP_neg_pct","DSPP_neg_mean","fold_change"
"FOS",37.8,2.877,11.2,0.883,3.25
"BMP4",8.1,0.652,3,0.229,2.83
"JUN",27,2.107,10.2,0.805,2.61
"JUNB",5.4,0.36,2,0.153,2.34
"SOSTDC1",21.6,1.622,10.8,0.851,1.9
"TGFB3",2.7,0.22,1.9,0.142,1.54
"BMP7",18.9,1.508,12.6,0.987,1.53
"BMPR1A",16.2,1.211,10.7,0.838,1.44
"NFKB1",2.7,0.214,2.1,0.158,1.34
"COL1A2",83.8,8.289,74.2,6.636,1.25
"BMPR2",29.7,2.333,23.5,1.865,1.25
"IGF1R",18.9,1.516,16.3,1.274,1.19
"COL1A1",81.1,8.615,82.1,7.741,1.11
"DLX5",2.7,0.232,2.8,0.216,1.07
"PTN",29.7,2.413,29.2,2.368,1.02
"MDK",29.7,2.265,28.3,2.268,1
"MSX1",16.2,1.154,18.2,1.431,0.81
"LEF1",8.1,0.601,11.2,0.884,0.68
"RUNX2",27,2.103,38.6,3.176,0.66
"DLX6",0,0,0.6,0.045,0
"MSX2",0,0,1.4,0.109,0
"WNT10A",0,0,0.3,0.021,0
"AXIN2",0,0,0.9,0.068,0
"DMP1",0,0,0.1,0.012,0
"SOX2",0,0,0.6,0.046,0
"BMPR1B",0,0,1.2,0.094,0
"TGFB2",0,0,3.6,0.282,0
"BMP2",0,0,0.9,0.07,0
