"gene","fetal_OB_pct","fetal_OB_mean","adult_deep_pct","adult_deep_mean","delta_pct","delta_mean"
"COL1A1",89.72,9.106,48.32,1.112,41.4,7.994
"DSPP",34.36,3.007,0,0,34.36,3.007
"COL1A2",88.4,8.615,60.72,1.822,27.68,6.793
"IGF1R",16.89,1.346,7.55,0.115,9.34,1.23
"RUNX2",24.23,1.94,16.01,0.219,8.22,1.721
"BMPR2",21.88,1.751,15.96,0.211,5.92,1.54
"LEF1",6.61,0.524,3.16,0.034,3.45,0.49
"BMPR1A",8.81,0.686,5.58,0.073,3.23,0.613
"SOSTDC1",2.2,0.173,0.1,0.002,2.1,0.172
"SOX2",0,0,0.78,0.013,-0.78,-0.013
"DMP1",0.44,0.036,1.34,0.028,-0.9,0.008
"AXIN2",0.15,0.01,1.31,0.016,-1.17,-0.006
"WNT10A",1.32,0.105,2.55,0.036,-1.23,0.069
"BMP4",0.88,0.065,7.9,0.096,-7.02,-0.031
"RELA",0.15,0.012,10.53,0.119,-10.38,-0.107
"BMPR1B",0.59,0.046,11.03,0.175,-10.45,-0.129
"NFKB1",1.76,0.137,15.96,0.224,-14.19,-0.087
"DLX6",0.73,0.056,17.19,0.253,-16.46,-0.197
"MSX1",17.03,1.349,42.34,0.83,-25.3,0.519
"MSX2",1.62,0.121,29.97,0.548,-28.35,-0.427
"DLX5",0.73,0.053,38,0.8,-37.26,-0.746
"PTN",25.11,2.072,64.28,2.8,-39.17,-0.727
"MDK",4.99,0.389,50.44,1.187,-45.45,-0.798
"FOS",4.55,0.349,72.15,2.455,-67.6,-2.106
"JUN",3.38,0.262,76.67,2.484,-73.3,-2.223
"JUNB",0.44,0.036,87.23,2.768,-86.78,-2.732
