"gene","DSPP_pos_pct","DSPP_pos_mean","DSPP_neg_pct","DSPP_neg_mean","fold_change"
"WNT10A",1.6,0.13,0.2,0.011,10.4
"BMP2",3.6,0.275,0.8,0.059,4.56
"DMP1",0.3,0.027,0.1,0.006,4.04
"TGFB2",10.1,0.779,3.5,0.276,2.81
"COL1A2",92.2,9.591,51.5,4.4,2.18
"COL1A1",93.2,10.277,53.9,4.783,2.15
"DLX6",1,0.069,0.5,0.035,1.88
"TGFB3",1.6,0.125,1.1,0.081,1.53
"FOS",12.1,0.922,7.8,0.612,1.5
"MSX1",21.2,1.622,15,1.181,1.37
"JUN",7.8,0.603,5.7,0.446,1.35
"JUNB",1.3,0.096,0.9,0.071,1.33
"SOSTDC1",5.5,0.42,4.1,0.322,1.3
"MSX2",2.3,0.17,1.7,0.132,1.28
"BMP7",13.7,1.05,11.3,0.886,1.18
"DLX5",2.6,0.196,2.2,0.168,1.17
"IGF1R",18.6,1.444,17.4,1.375,1.05
"PTN",33.2,2.696,32.9,2.727,0.99
"BMP4",2.6,0.194,2.8,0.216,0.9
"BMPR2",24.8,1.912,27.4,2.188,0.87
"BMPR1A",10.4,0.777,12,0.941,0.82
"NFKB1",1.6,0.121,2.2,0.173,0.69
"MDK",12.1,0.913,17.7,1.406,0.65
"RUNX2",27.4,2.121,41,3.381,0.63
"BMPR1B",1.3,0.099,2.3,0.181,0.55
"LEF1",6.5,0.499,12.4,0.976,0.51
"AXIN2",0.3,0.023,0.6,0.048,0.47
"SOX2",0,0,0.2,0.015,0
