"gene","fetal_OB_pct","fetal_OB_mean","adult_deep_pct","adult_deep_mean","delta_pct","delta_mean"
"TGFB2",16.45,1.321,2.47,0.028,13.97,1.293
"IGF1R",16.89,1.346,7.55,0.115,9.34,1.23
"RUNX2",24.23,1.94,16.01,0.219,8.22,1.721
"BMP7",7.05,0.559,6.59,0.093,0.46,0.466
"TGFB3",0.88,0.067,4.85,0.058,-3.97,0.009
"BMP2",2.94,0.233,8.28,0.113,-5.34,0.119
"BMP4",0.88,0.065,7.9,0.096,-7.02,-0.031
"FOS",4.55,0.349,72.15,2.455,-67.6,-2.106
"JUN",3.38,0.262,76.67,2.484,-73.3,-2.223
"JUNB",0.44,0.036,87.23,2.768,-86.78,-2.732
