system,layer,marker,value,doi,notes
Xenopus_St42,P,H3K4me3 accessibility,0.78,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St42,C,XHoxc10 expression,0.78,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St42,S,FGF8/BMP4 cascade,0.95,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St42,B,TGF-β suppression,0.82,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St42,T,p53 low activity,0.82,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St42,M,Glycolysis high,0.78,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St47,P,H3K4me3 reduced,0.33,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St47,C,HOX expression low,0.33,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St47,S,Signaling uncoordinated,0.33,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St47,B,TGF-β1 high,0.22,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St47,T,p53/senescence high,0.22,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Xenopus_St47,M,OXPHOS dominant,0.33,10.1016/S0012-1606(03)00208-3,Beck et al. 2003
Human_Skin,P,HDAC activity,0.53,10.1038/nature07039,Gurtner et al. 2008
Human_Skin,C,HOX positional memory,0.56,10.1038/nature07039,Gurtner et al. 2008
Human_Skin,S,Growth factor timing,0.49,10.1038/nature07039,Gurtner et al. 2008
Human_Skin,B,TGF-β1/β3 ratio high,0.29,10.1038/nature07039,Gurtner et al. 2008
Human_Skin,T,p53 regulation,0.50,10.1038/nature07039,Gurtner et al. 2008
Human_Skin,M,Glycolysis moderate,0.52,10.1038/nature07039,Gurtner et al. 2008
Human_Oral,P,Epithelial turnover high,0.60,10.1111/j.1600-0714.2010.00915.x,Chen et al. 2010
Human_Oral,C,Positional memory,0.56,10.1111/j.1600-0714.2010.00915.x,Chen et al. 2010
Human_Oral,S,Immune coordination fast,0.65,10.1111/j.1600-0714.2010.00915.x,Chen et al. 2010
Human_Oral,B,TGF-β3 dominant,0.75,10.1111/j.1600-0714.2010.00915.x,Chen et al. 2010
Human_Oral,T,Safe proliferation,0.50,10.1111/j.1600-0714.2010.00915.x,Chen et al. 2010
Human_Oral,M,Metabolic activity high,0.60,10.1111/j.1600-0714.2010.00915.x,Chen et al. 2010
Naked_Mole_Rat,P,Chromatin closed,0.40,10.1073/pnas.0905377106,Seluanov et al. 2009
Naked_Mole_Rat,C,Positional memory weak,0.30,10.1073/pnas.0905377106,Seluanov et al. 2009
Naked_Mole_Rat,S,Signaling suppressed,0.25,10.1073/pnas.0905377106,Seluanov et al. 2009
Naked_Mole_Rat,B,Fibrosis prone,0.35,10.1073/pnas.0905377106,Seluanov et al. 2009
Naked_Mole_Rat,T,Hyperactive p53/senescence,0.02,10.1073/pnas.0905377106,Seluanov et al. 2009
Naked_Mole_Rat,M,Low metabolic potential,0.30,10.1073/pnas.0905377106,Seluanov et al. 2009
Mouse_Digit_P3,P,Wnt/β-catenin open,0.75,10.1038/nature09898,Lehoczky et al. 2011
Mouse_Digit_P3,C,Positional identity,0.70,10.1038/nature09898,Lehoczky et al. 2011
Mouse_Digit_P3,S,FGF/BMP signaling,0.80,10.1038/nature09898,Lehoczky et al. 2011
